"","Season","School","coach_factor","Conference","Coach","TeamID","player_factor","total_factor"
"30",2021,"Villanova",12.7282717739886,"Big East","Jay Wright",1437,42.502,55.2302717739886
"31",2015,"Louisville",15.0155013851315,"ACC","Rick Pitino",1257,39.755,54.7705013851315
"32",2011,"UConn",17.8267523747354,"Big East","Jim Calhoun",1163,36.815,54.6417523747354
"33",2016,"Kentucky",13.7682931490171,"SEC","John Calipari",1246,40.859,54.6272931490171
"34",2021,"Syracuse",22.5253177101841,"ACC","Jim Boeheim",1393,31.969,54.4943177101841
"35",2022,"Gonzaga",13.6855660347301,"WCC","Mark Few",1211,40.759,54.4445660347301
"36",2019,"Gonzaga",11.814091672051,"WCC","Mark Few",1211,42.549,54.363091672051
"37",2011,"Duke",18.7187833091382,"ACC","Mike Krzyzewski",1181,35.622,54.3407833091382
"38",2020,"Michigan State",13.0611704820427,"Big Ten","Tom Izzo",1277,41.167,54.2281704820427
"39",2018,"West Virginia",16.0774912591491,"Big 12","Bob Huggins",1452,38.022,54.0994912591491
"40",2018,"Kansas",13.601988671592,"Big 12","Bill Self",1242,40.302,53.903988671592
"41",2012,"Kansas",9.90072222600155,"Big 12","Bill Self",1242,43.804,53.7047222260016
"42",2014,"Louisville",14.4550452083615,"AAC","Rick Pitino",1257,39.226,53.6810452083615
"43",2017,"SMU",4.07789063364962,"AAC","Tim Jankovich",1374,48.975,53.0528906336496
"44",2019,"Virginia",6.71820836145207,"ACC","Tony Bennett",1438,46.255,52.9732083614521
"45",2018,"Arizona",7.63178124919791,"Pac-12","Sean Miller",1112,45.269,52.9007812491979
"46",2012,"UNC",14.0389845456549,"ACC","Roy Williams",1314,38.598,52.6369845456549
"47",2022,"Kansas",15.8692022232583,"Big 12","Bill Self",1242,36.57,52.4392022232583
"48",2021,"Duke",24.332224633921,"ACC","Mike Krzyzewski",1181,28.088,52.420224633921
"49",2013,"Louisville",13.8109466556896,"Big East","Rick Pitino",1257,38.597,52.4079466556896
"50",2012,"UConn",18.2383291881311,"Big East","Jim Calhoun",1163,34.168,52.4063291881311
"51",2025,"Tennessee",17.3880060246236,"SEC","Rick Barnes",1397,34.978,52.3660060246236
"52",2021,"Iowa",9.71336010139571,"Big Ten","Fran McCaffery",1234,42.541,52.2543601013957
"53",2016,"Michigan State",10.8991108688572,"Big Ten","Tom Izzo",1277,40.824,51.7231108688572
"54",2020,"Dayton",5.34882556305408,"A-10","Anthony Grant",1173,46.349,51.6978255630541
"55",2013,"Michigan",8.63147401886476,"Big Ten","John Beilein",1276,43.022,51.6534740188648
"56",2018,"UNC",17.5129266306447,"ACC","Roy Williams",1314,33.626,51.1389266306447
"57",2018,"Notre Dame",10.4401669760968,"ACC","Mike Brey",1323,40.588,51.0281669760968
"58",2025,"Houston",15.0582124372899,"Big 12","Kelvin Sampson",1222,35.956,51.0142124372899
"59",2020,"Syracuse",22.1506501929903,"ACC","Jim Boeheim",1393,28.831,50.9816501929903
"60",2020,"Kentucky",16.1169866198447,"SEC","John Calipari",1246,34.616,50.7329866198447
"61",2025,"Purdue",10.3156172013114,"Big Ten","Matt Painter",1345,40.265,50.5806172013114
"62",2010,"Ohio State",5.36622343265011,"Big Ten","Thad Matta",1326,45.052,50.4182234326501
"63",2017,"Syracuse",20.8790506789826,"ACC","Jim Boeheim",1393,29.318,50.1970506789826
"64",2022,"Villanova",13.3525778846636,"Big East","Jay Wright",1437,36.826,50.1785778846636
"65",2018,"Saint Mary's",8.15296166200411,"WCC","Randy Bennett",1388,41.94,50.0929616620041
"66",2016,"Oklahoma",12.2713762919461,"Big 12","Lon Kruger",1328,37.812,50.0833762919461
"67",2012,"California",13.187012614073,"Pac-12","Mike Montgomery",1143,36.755,49.942012614073
"68",2021,"Georgia Tech",5.1824502744258,"ACC","Josh Pastner",1210,44.756,49.9384502744258
"69",2011,"Wisconsin",5.65760395725713,"Big Ten","Bo Ryan",1458,44.265,49.9226039572571
"70",2016,"Gonzaga",9.6905942273429,"WCC","Mark Few",1211,40.139,49.8295942273429
"71",2012,"Wisconsin",6.1983021026787,"Big Ten","Bo Ryan",1458,43.589,49.7873021026787
"72",2017,"Kentucky",14.4343204074509,"SEC","John Calipari",1246,35.157,49.5913204074509
"73",2021,"Virginia",7.57102983976635,"ACC","Tony Bennett",1438,41.992,49.5630298397664
"74",2021,"Illinois",3.74500372770067,"Big Ten","Brad Underwood",1228,45.796,49.5410037277007
"75",2017,"UNC",16.9717657816714,"ACC","Roy Williams",1314,32.425,49.3967657816714
"76",2019,"Tennessee",14.3929195212298,"SEC","Rick Barnes",1397,34.965,49.3579195212298
"77",2021,"West Virginia",17.219883320217,"Big 12","Bob Huggins",1452,32.076,49.295883320217
"78",2024,"Purdue",9.81686296060233,"Big Ten","Matt Painter",1345,39.394,49.2108629606023
"79",2024,"Creighton",9.85841336979743,"Big East","Greg McDermott",1166,39.239,49.0974133697974
"80",2020,"Villanova",12.3536883111175,"Big East","Jay Wright",1437,36.69,49.0436883111175
"81",2020,"Maryland",9.44300715026961,"Big Ten","Mark Turgeon",1268,39.5,48.9430071502696
"82",2018,"Purdue",6.65633699496816,"Big Ten","Matt Painter",1345,42.193,48.8493369949682
"83",2018,"Michigan State",11.9387598400707,"Big Ten","Tom Izzo",1277,36.774,48.7127598400707
"84",2025,"Creighton",10.3774462752268,"Big East","Greg McDermott",1166,38.201,48.5784462752268
"85",2015,"Syracuse",20.0877832894067,"ACC","Jim Boeheim",1393,28.415,48.5027832894067
"86",2020,"Saint Mary's",9.15080571609955,"WCC","Randy Bennett",1388,39.199,48.3498057160996
"87",2022,"Davidson",13.188522161645,"A-10","Bob McKillop",1172,35,48.188522161645
"88",2022,"Syracuse",22.854996714441,"ACC","Jim Boeheim",1393,25.209,48.063996714441
"89",2013,"Gonzaga",7.77880606403925,"WCC","Mark Few",1211,40.123,47.9018060640392
"90",2021,"Wright State",6.2216879886805,"Horizon","Scott Nagy",1460,41.655,47.8766879886805
"91",2016,"Syracuse",20.4859351333057,"ACC","Jim Boeheim",1393,27.33,47.8159351333057
"92",2014,"Oklahoma State",5.15718391551273,"Big 12","Travis Ford",1329,42.62,47.7771839155127
"93",2014,"Wichita State",7.65640087041256,"MVC","Gregg Marshall",1455,40.076,47.7324008704126
"94",2016,"UNC",16.2854865333194,"ACC","Roy Williams",1314,31.434,47.7194865333194
"95",2013,"Kansas",10.5454107413975,"Big 12","Bill Self",1242,37.028,47.5734107413975
"96",2012,"Michigan State",8.57056688702446,"Big Ten","Tom Izzo",1277,39.002,47.5725668870245
"97",2018,"Cincinnati",7.00964370756191,"AAC","Mick Cronin",1153,40.401,47.4106437075619
"98",2021,"St. Bonaventure",6.80384701793761,"A-10","Mark Schmidt",1382,40.602,47.4058470179376
"99",2022,"Houston",12.978815617048,"AAC","Kelvin Sampson",1222,34.407,47.385815617048
"100",2017,"UCLA",10.004453194367,"Pac-12","Steve Alford",1417,37.371,47.375453194367
"101",2012,"Vanderbilt",7.9862697716935,"SEC","Kevin Stallings",1435,39.281,47.2672697716935
"102",2025,"Duke",1.8512475498154,"ACC","Jon Scheyer",1181,45.415,47.2662475498154
"103",2012,"Duke",19.2794357489821,"ACC","Mike Krzyzewski",1181,27.945,47.2244357489821
"104",2022,"Tennessee",15.6823755985489,"SEC","Rick Barnes",1397,31.506,47.1883755985489
"105",2023,"Iona",17.3481408941979,"MAAC","Rick Pitino",1233,29.826,47.1741408941979
"106",2012,"Syracuse",18.5106483877996,"Big East","Jim Boeheim",1393,28.661,47.1716483877996
"107",2023,"UCLA",9.65123423184007,"Pac-12","Mick Cronin",1417,37.495,47.1462342318401
"108",2012,"Florida",8.75577445765246,"SEC","Billy Donovan",1196,38.376,47.1317744576525
"109",2019,"UNC",18.115459617149,"ACC","Roy Williams",1314,28.93,47.045459617149
"110",2017,"Notre Dame",10.0055932000344,"ACC","Mike Brey",1323,36.99,46.9955932000344
"111",2011,"Ohio State",6.07330674949167,"Big Ten","Thad Matta",1326,40.845,46.9183067494917
"112",2023,"Kentucky",17.3024752142925,"SEC","John Calipari",1246,29.346,46.6484752142925
"113",2020,"Oklahoma",13.6850172266533,"Big 12","Lon Kruger",1328,32.924,46.6090172266533
"114",2014,"Florida",10.1084720141818,"SEC","Billy Donovan",1196,36.455,46.5634720141818
"115",2020,"Gonzaga",12.4589378779168,"WCC","Mark Few",1211,34.066,46.5249378779168
"116",2025,"Kansas",17.2827575448718,"Big 12","Bill Self",1242,29.167,46.4497575448718
"117",2017,"Davidson",11.0851054528848,"A-10","Bob McKillop",1172,35.32,46.4051054528848
"118",2010,"West Virginia",12.4374217005045,"Big East","Bob Huggins",1452,33.966,46.4034217005045
"119",2017,"Louisville",16.0150980460268,"ACC","Rick Pitino",1257,30.365,46.3800980460268
"120",2019,"Kentucky",15.5992055095812,"SEC","John Calipari",1246,30.481,46.0802055095812
"121",2014,"Michigan State",9.73323527714692,"Big Ten","Tom Izzo",1277,36.289,46.0222352771469
"122",2017,"Houston",10.0058621921097,"AAC","Kelvin Sampson",1222,36.006,46.0118621921097
"123",2013,"Miami (FL)",10.2140338010142,"ACC","Jim Larranaga",1274,35.632,45.8460338010142
"124",2013,"Indiana",5.6987314941578,"Big Ten","Tom Crean",1231,40.147,45.8457314941578
"125",2020,"UNC",18.4008127939087,"ACC","Roy Williams",1314,27.415,45.8158127939087
"126",2025,"Maryland",6.96872260318551,"Big Ten","Kevin Willard",1268,38.795,45.7637226031855
"127",2019,"Kansas",14.1416881836337,"Big 12","Bill Self",1242,31.597,45.7386881836337
"128",2023,"Purdue",9.11086976664665,"Big Ten","Matt Painter",1345,36.605,45.7158697666466
"129",2021,"USC",4.12080067409512,"Pac-12","Andy Enfield",1425,41.564,45.6848006740951
"130",2011,"Syracuse",17.803197225154,"Big East","Jim Boeheim",1393,27.856,45.659197225154
"131",2020,"Baylor",7.52982067313752,"Big 12","Scott Drew",1124,38.072,45.6018206731375
"132",2014,"UCLA",8.59059991727689,"Pac-12","Steve Alford",1417,36.96,45.5505999172769
"133",2017,"Gonzaga",10.4631505502809,"WCC","Mark Few",1211,35.069,45.5321505502809
"134",2018,"Houston",10.5684160118506,"AAC","Kelvin Sampson",1222,34.896,45.4644160118506
"135",2012,"Saint Mary's",4.88630422345018,"WCC","Randy Bennett",1388,40.532,45.4183042234502
"136",2024,"Houston",14.3303267445731,"Big 12","Kelvin Sampson",1222,31.041,45.3713267445731
"137",2025,"Gonzaga",15.4322446075512,"WCC","Mark Few",1211,29.765,45.1972446075512
"138",2020,"Akron",4.88995386079912,"MAC","John Groce",1103,40.28,45.1699538607991
"139",2023,"Houston",13.6649730307453,"AAC","Kelvin Sampson",1222,31.498,45.1629730307453
"140",2019,"Syracuse",21.7742990347402,"ACC","Jim Boeheim",1393,23.321,45.0952990347402
"141",2022,"Iowa",10.2541899181393,"Big Ten","Fran McCaffery",1234,34.775,45.0291899181393
"142",2018,"Oklahoma",12.8730725480891,"Big 12","Lon Kruger",1328,32.154,45.0270725480891
"143",2020,"San Diego State",1.52383744406473,"MWC","Brian Dutcher",1361,43.501,45.0248374440647
"144",2020,"Utah State",2.76747618428589,"MWC","Craig Smith",1429,42.223,44.9904761842859
"145",2018,"Michigan",11.2540036145451,"Big Ten","John Beilein",1276,33.73,44.9840036145451
"146",2019,"Michigan State",12.6046827364644,"Big Ten","Tom Izzo",1277,32.354,44.9586827364644
"147",2020,"Hofstra",8.44608075137448,"CAA","Joe Mihalich",1220,36.5,44.9460807513745
"148",2015,"Notre Dame",8.96737962983676,"ACC","Mike Brey",1323,35.771,44.7383796298368
"149",2014,"Michigan",9.21365188505131,"Big Ten","John Beilein",1276,35.483,44.6966518850513
"150",2010,"Kentucky",9.98747485455057,"SEC","John Calipari",1246,34.647,44.6344748545506
"151",2017,"Michigan",10.5666255330681,"Big Ten","John Beilein",1276,34.059,44.6256255330681
"152",2016,"Virginia",4.86704146737042,"ACC","Tony Bennett",1438,39.683,44.5500414673704
"153",2017,"Saint Mary's",7.52935083209385,"WCC","Randy Bennett",1388,37.02,44.5493508320939
"154",2018,"Belmont",8.07184167632246,"OVC","Rick Byrd",1125,36.45,44.5218416763225
"155",2010,"Syracuse",17.2420754237381,"Big East","Jim Boeheim",1393,27.242,44.4840754237381
"156",2014,"Cincinnati",4.8059110068187,"AAC","Mick Cronin",1153,39.607,44.4129110068187
"157",2023,"Kansas",16.3686025369797,"Big 12","Bill Self",1242,27.961,44.3296025369797
"158",2012,"Missouri",3.30741845392463,"Big 12","Frank Haith",1281,41.001,44.3084184539246
"159",2020,"Arkansas",2.70287506606274,"SEC","Eric Musselman",1116,41.604,44.3068750660627
"160",2018,"Clemson",6.57424373947535,"ACC","Brad Brownell",1155,37.731,44.3052437394754
"161",2018,"Virginia",5.99053028327924,"ACC","Tony Bennett",1438,38.298,44.2885302832792
"162",2020,"Minnesota",3.01847710999992,"Big Ten","Richard Pitino",1278,41.232,44.2504771099999
"163",2020,"BYU",2.10440570200393,"WCC","Mark Pope",1140,42.107,44.2114057020039
"164",2022,"Wyoming",2.48052662048935,"MWC","Jeff Linder",1461,41.64,44.1205266204894
"165",2016,"Villanova",9.900064123525,"Big East","Jay Wright",1437,34.192,44.092064123525
"166",2025,"Auburn",9.92079131404221,"SEC","Bruce Pearl",1120,34.155,44.0757913140422
"167",2021,"Davidson",12.6260693734025,"A-10","Bob McKillop",1172,31.421,44.0470693734025
"168",2021,"Kansas",15.1609743412047,"Big 12","Bill Self",1242,28.862,44.0229743412047
"169",2019,"Virginia Tech",5.26325745610423,"ACC","Buzz Williams",1439,38.687,43.9502574561042
"170",2014,"UNC",15.0570150658843,"ACC","Roy Williams",1314,28.885,43.9420150658843
"171",2020,"Creighton",7.90466982370478,"Big East","Greg McDermott",1166,36.021,43.9256698237048
"172",2017,"South Carolina",4.43175398655942,"SEC","Frank Martin",1376,39.432,43.8637539865594
"173",2018,"Kansas State",9.10925916828154,"Big 12","Bruce Weber",1243,34.725,43.8342591682815
"174",2021,"Oklahoma",14.0179801362664,"Big 12","Lon Kruger",1328,29.81,43.8279801362664
"175",2014,"Kentucky",12.4157635684578,"SEC","John Calipari",1246,31.405,43.8207635684578
"176",2020,"Iowa",9.25648299115428,"Big Ten","Fran McCaffery",1234,34.504,43.7604829911543
"177",2024,"Kansas",16.8455188434743,"Big 12","Bill Self",1242,26.837,43.6825188434743
"178",2018,"Murray State",1.23363940833367,"OVC","Matt McMahon",1293,42.39,43.6236394083337
"179",2022,"Santa Clara",10.6094187295462,"WCC","Herb Sendek",1365,32.989,43.5984187295462
"180",2012,"San Diego State",9.19310441435086,"MWC","Steve Fisher",1361,34.386,43.5791044143509
"181",2016,"Louisville",15.4958695225936,"ACC","Rick Pitino",1257,28.077,43.5728695225936
"182",2012,"Marquette",2.28805243208787,"Big East","Buzz Williams",1266,41.283,43.5710524320879
"183",2013,"Georgetown",5.76274245987351,"Big East","John Thompson III",1207,37.776,43.5387424598735
"184",2016,"Kansas",12.3132291487979,"Big 12","Bill Self",1242,31.078,43.3912291487979
"185",2025,"Clemson",9.54711443817002,"ACC","Brad Brownell",1155,33.843,43.39011443817
"186",2013,"California",13.6221453947381,"Pac-12","Mike Montgomery",1143,29.731,43.3531453947381
"187",2014,"West Virginia",13.8941188286732,"Big 12","Bob Huggins",1452,29.391,43.2851188286732
"188",2017,"Middle Tennessee",7.86639695659863,"CUSA","Kermit Davis Jr",1292,35.407,43.2733969565986
"189",2014,"San Diego State",10.3182762690061,"MWC","Steve Fisher",1361,32.893,43.2112762690061
"190",2014,"Arizona",5.18033199752506,"Pac-12","Sean Miller",1112,37.974,43.1543319975251
"191",2014,"Tennessee",2.58036703052329,"SEC","Cuonzo Martin",1397,40.545,43.1253670305233
"192",2025,"Saint Mary's",11.6903929728903,"WCC","Randy Bennett",1388,31.402,43.0923929728903
"193",2021,"Maryland",9.79658336985362,"Big Ten","Mark Turgeon",1268,33.261,43.0575833698536
"194",2020,"Arizona",8.42319323273087,"Pac-12","Sean Miller",1112,34.626,43.0491932327309
"195",2012,"Temple",9.23324984810225,"A-10","Fran Dunphy",1396,33.763,42.9962498481023
"196",2023,"Miami (FL)",14.4969579757505,"ACC","Jim Larranaga",1274,28.492,42.9889579757505
"197",2014,"New Mexico",0.560771710282198,"MWC","Craig Neal",1307,42.346,42.9067717102822
"198",2018,"Kentucky",14.9740745291282,"SEC","John Calipari",1246,27.827,42.8010745291282
"199",2012,"Texas",11.3146440099123,"Big 12","Rick Barnes",1400,31.382,42.6966440099123
"200",2025,"Arkansas",18.2401085092665,"SEC","John Calipari",1116,24.409,42.6491085092665
"201",2018,"BYU",6.84300185103653,"WCC","Dave Rose",1140,35.8,42.6430018510365
"202",2023,"Syracuse",23.2062968470972,"ACC","Jim Boeheim",1393,19.416,42.6222968470972
"203",2012,"Virginia",2.54130432273897,"ACC","Tony Bennett",1438,40.078,42.619304322739
"204",2012,"Drexel",5.92918387060871,"CAA","Bruiser Flint",1180,36.494,42.4231838706087
"205",2018,"Maryland",8.46445513940401,"Big Ten","Mark Turgeon",1268,33.933,42.397455139404
"206",2018,"Old Dominion",9.79747281866124,"CUSA","Jeff Jones",1330,32.573,42.3704728186612
"207",2020,"Nevada",10.9830360355711,"MWC","Steve Alford",1305,31.385,42.3680360355711
"208",2017,"Oregon",12.4163841448334,"Pac-12","Dana Altman",1332,29.945,42.3613841448334
"209",2021,"LSU",3.61991995138029,"SEC","Will Wade",1261,38.721,42.3409199513803
"210",2021,"Nevada",11.3160088729221,"MWC","Steve Alford",1305,30.978,42.2940088729221
"211",2024,"UConn",6.07342242780978,"Big East","Dan Hurley",1163,36.218,42.2914224278098
"212",2017,"West Virginia",15.5379312929569,"Big 12","Bob Huggins",1452,26.704,42.2419312929569
"213",2023,"Gonzaga",14.3299086875242,"WCC","Mark Few",1211,27.911,42.2409086875242
"214",2010,"UConn",17.1578395779198,"Big East","Jim Calhoun",1163,25.068,42.2258395779198
"215",2015,"Wichita State",8.27753831575469,"MVC","Gregg Marshall",1455,33.88,42.1575383157547
"216",2018,"Nevada",1.68786350931938,"MWC","Eric Musselman",1305,40.457,42.1448635093194
"217",2012,"Michigan",7.98653218798345,"Big Ten","John Beilein",1276,34.104,42.0905321879835
"218",2010,"California",12.3127807715957,"Pac-10","Mike Montgomery",1143,29.773,42.0857807715957
"219",2012,"Seton Hall",1.64419288862595,"Big East","Kevin Willard",1371,40.426,42.070192888626
"220",2014,"UConn",1.08056843848903,"AAC","Kevin Ollie",1163,40.984,42.064568438489
"221",2018,"St. Bonaventure",5.69975538388079,"A-10","Mark Schmidt",1382,36.316,42.0157553838808
"222",2017,"Colorado State",10.6749967839523,"MWC","Larry Eustachy",1161,31.305,41.9799967839523
"223",2011,"Purdue",3.39138773359169,"Big Ten","Matt Painter",1345,38.563,41.9543877335917
"224",2013,"Bucknell",2.05859162757953,"Patriot","Dave Paulsen",1137,39.874,41.9325916275795
"225",2025,"Baylor",10.0662656312295,"Big 12","Scott Drew",1124,31.861,41.9272656312295
"226",2022,"Toledo",7.63479772265591,"MAC","Tod Kowalczyk",1405,34.25,41.8847977226559
"227",2014,"Providence",3.09872681994266,"Big East","Ed Cooley",1344,38.722,41.8207268199427
"228",2021,"Missouri State",2.20878483327798,"MVC","Dana Ford",1283,39.582,41.790784833278
"229",2020,"Virginia",7.19344796448141,"ACC","Tony Bennett",1438,34.583,41.7764479644814
"230",2018,"Gonzaga",11.1284688718246,"WCC","Mark Few",1211,30.643,41.7714688718246
"231",2025,"Texas Tech",4.28487882384892,"Big 12","Grant McCasland",1403,37.479,41.7638788238489
"232",2018,"SMU",4.42665025064791,"AAC","Tim Jankovich",1374,37.323,41.7496502506479
"233",2012,"Louisville",13.0815282199259,"Big East","Rick Pitino",1257,28.665,41.7465282199259
"234",2022,"Murray State",3.20920624869346,"OVC","Matt McMahon",1293,38.537,41.7462062486935
"235",2014,"Wisconsin",7.30056614321348,"Big Ten","Bo Ryan",1458,34.39,41.6905661432135
"236",2011,"BYU",3.30769990736178,"MWC","Dave Rose",1140,38.365,41.6726999073618
"237",2016,"Saint Mary's",6.93210092165561,"WCC","Randy Bennett",1388,34.739,41.6711009216556
"238",2021,"Coastal Carolina",16.6388654950887,"Sun Belt","Cliff Ellis",1157,25.03,41.6688654950887
"239",2013,"Florida",9.35992491184934,"SEC","Billy Donovan",1196,32.296,41.6559249118493
"240",2016,"St. Joseph's",8.38463136855072,"A-10","Phil Martelli",1386,33.25,41.6346313685507
"241",2014,"Creighton",5.32495739233788,"Big East","Greg McDermott",1166,36.299,41.6239573923379
"242",2019,"Saint Mary's",8.61264659473384,"WCC","Randy Bennett",1388,32.965,41.5776465947338
"243",2012,"Notre Dame",7.4662822235692,"Big East","Mike Brey",1323,34.072,41.5382822235692
"244",2018,"UCLA",10.4396514146101,"Pac-12","Steve Alford",1417,31.082,41.5216514146101
"245",2015,"Michigan State",10.2954439462132,"Big Ten","Tom Izzo",1277,31.157,41.4524439462132
"246",2012,"Mississippi State",6.0933265087815,"SEC","Rick Stansbury",1280,35.35,41.4433265087815
"247",2011,"Texas",10.8991396740375,"Big 12","Rick Barnes",1400,30.531,41.4301396740375
"248",2022,"Kansas State",10.3379652734731,"Big 12","Bruce Weber",1243,31.081,41.4189652734731
"249",2010,"Maryland",13.5008709841808,"ACC","Gary Williams",1268,27.898,41.3988709841808
"250",2010,"Saint Mary's",3.80412063364846,"WCC","Randy Bennett",1388,37.537,41.3411206336485
"251",2022,"Miami (FL)",13.89516650011,"ACC","Jim Larranaga",1274,27.399,41.29416650011
"252",2017,"Purdue",6.03163244691754,"Big Ten","Matt Painter",1345,35.256,41.2876324469175
"253",2018,"Penn State",3.22451498127144,"Big Ten","Patrick Chambers",1336,38.046,41.2705149812714
"254",2014,"St. Joseph's",7.52943838278766,"A-10","Phil Martelli",1386,33.74,41.2694383827877
"255",2013,"Ohio State",7.32092230176699,"Big Ten","Thad Matta",1326,33.925,41.245922301767
"256",2021,"Mississippi State",10.7123068452779,"SEC","Ben Howland",1280,30.512,41.2243068452779
"257",2019,"Michigan",11.8774145003582,"Big Ten","John Beilein",1276,29.197,41.0744145003582
"258",2021,"Colorado",6.01251654352133,"Pac-12","Tad Boyle",1160,35.057,41.0695165435213
"259",2014,"Kansas",11.0649257302074,"Big 12","Bill Self",1242,29.978,41.0429257302074
"260",2014,"Pitt",5.99025996805627,"ACC","Jamie Dixon",1338,35.049,41.0392599680563
"261",2021,"Toledo",7.0954062369789,"MAC","Tod Kowalczyk",1405,33.942,41.0374062369789
"262",2018,"Tennessee",13.7499730029578,"SEC","Rick Barnes",1397,27.239,40.9889730029578
"263",2017,"Iowa State",3.14164993476731,"Big 12","Steve Prohm",1235,37.836,40.9776499347673
"264",2016,"Oregon",11.7312621631654,"Pac-12","Dana Altman",1332,29.177,40.9082621631654
"265",2012,"Oregon",9.46473935739433,"Pac-12","Dana Altman",1332,31.43,40.8947393573943
"266",2014,"Georgia State",5.88876339750059,"Sun Belt","Ron Hunter",1209,34.995,40.8837633975006
"267",2012,"Saint Louis",10.7562595463988,"A-10","Rick Majerus",1387,30.102,40.8582595463988
"268",2024,"Tennessee",16.763712448472,"SEC","Rick Barnes",1397,24.057,40.820712448472
"269",2012,"New Mexico",7.40537319491299,"MWC","Steve Alford",1307,33.404,40.809373194913
"270",2014,"Canisius",8.94512076555532,"MAAC","Jim Baron",1145,31.821,40.7661207655553
"271",2011,"Kentucky",10.5872478795866,"SEC","John Calipari",1246,30.17,40.7572478795866
"272",2020,"Davidson",12.3540751475099,"A-10","Bob McKillop",1172,28.403,40.7570751475099
"273",2012,"Lehigh",1.95933155849117,"Patriot","Brett Reed",1250,38.737,40.6963315584912
"274",2025,"Marquette",7.69459440118029,"Big East","Shaka Smart",1266,32.908,40.6025944011803
"275",2013,"UNC",14.5583173968291,"ACC","Roy Williams",1314,26.039,40.5973173968291
"276",2020,"Tennessee",14.7435620965895,"SEC","Rick Barnes",1397,25.835,40.5785620965896
"277",2017,"Miami (FL)",12.0833366634108,"ACC","Jim Larranaga",1274,28.488,40.5713366634108
"278",2023,"Tennessee",16.2023441451569,"SEC","Rick Barnes",1397,24.354,40.5563441451569
"279",2013,"Baylor",4.11677968096086,"Big 12","Scott Drew",1124,36.332,40.4487796809609
"280",2017,"St. Bonaventure",5.15772553471448,"A-10","Mark Schmidt",1382,35.283,40.4407255347145
"281",2024,"Gonzaga",14.8910590475463,"WCC","Mark Few",1211,25.503,40.3940590475463
"282",2022,"Saint Mary's",9.98508565069523,"WCC","Randy Bennett",1388,30.394,40.3790856506952
"283",2025,"Oregon",16.2222874024369,"Big Ten","Dana Altman",1332,24.15,40.3722874024369
"284",2020,"Notre Dame",11.147010862121,"ACC","Mike Brey",1323,29.209,40.356010862121
"285",2017,"Memphis",11.9796704503059,"AAC","Tubby Smith",1272,28.374,40.3536704503059
